GDLCODE,X1est,X2est,X3est,X4est,X5est,X6est,X7est,X8est
LBRr113,1191.69305986812,1479.61763721823,27652.9815454573,5409.45668507271,2289.00344518981,24284.5100821071,8602.32451308074,3732.41303200605
LBRr114,933.212437172254,1158.68559431259,21654.9942029296,4236.1346447827,1792.5139918308,19017.1509782605,6736.46301597753,2922.84513473403
LBRr115,1814.75793459603,2239.60367862792,41968.8386293627,8236.41569988602,3486.15890426357,37056.0900411895,13116.003518769,5677.13159330528
LBYr101,51014.4812456851,87751.6201610701,889444.350408398,133709.719920534,39441.0478796435,416986.937379667,176899.525011911,67989.3179930917
LBYr102,113942.358465407,199666.878113445,1946230.03721879,292747.863377428,85116.4357301847,902784.437285977,386505.282139994,144272.707668776
LBYr103,13449.4049804077,23469.2949732549,231438.302304181,34950.614373241,10208.0428671772,106769.080809647,45922.9527664861,17605.3069256051
LCAr101,1174.38696323434,2234.16962245215,16639.0431871737,2609.78504139481,690.291988069652,6561.31618089572,3018.53670703312,1084.4703097465
LCAr102,5225.39541850399,9959.97818646044,71080.5318296819,11293.3432813729,2935.557909775,27025.5303691007,12916.3765194988,4677.28648560619
LIEt,5354.66105563966,8296.70944224718,15755.3866105139,3054.85365400221,522.179551275862,1788.31452171344,883.930116251337,1813.96504835643
LKAt,1005060.38412074,1796829.54572328,10008671.5758137,1648746.80740253,424330.079972782,3660068.52747982,1706917.15970189,719375.919785306
LSOr101,2079.66732656406,2501.29238144897,45940.6255574438,9333.47799685038,3790.17448184668,40009.0661477682,14330.3932746305,6391.30283344733
LSOr102,5238.53687879827,6302.41134867277,117644.974893291,23965.1491729486,9873.60507034605,104355.673126929,37024.7058139536,16564.9436950608
LSOr103,4513.05943101936,5623.94115804543,96772.862794212,19063.7926480524,7490.83245073845,79077.4939334392,28755.207705904,12848.8098785891
LSOr104,8823.70361493831,11058.203976024,189502.73620593,37223.5994812315,14660.4294902291,154995.370118038,56148.200221847,25039.7568917615
LSOr105,2965.13662322048,3655.47866720767,69543.8816791668,13943.4976691161,5799.81348626002,61478.6810122048,21438.9066556589,9623.60420716528
LSOr106,3090.79519631745,3875.34268101562,74279.1486391569,14795.5563482737,6169.71587223248,66118.5940179623,22935.6648338517,10189.18241119
LSOr107,1871.1942365665,2346.16609281537,44969.2412477729,8957.35822246346,3735.19953542356,40028.7706554286,13885.4505468554,6168.61946267414
LSOr108,1121.32860854816,1396.71007233532,26730.1506568223,5353.17146128849,2228.21267200049,23749.7386463479,8293.26128619795,3680.42659645938
LSOr109,1837.09950266799,2351.88276385868,45262.9526753283,8900.37780476223,3734.7326803073,40188.5554576675,13737.7332575521,6119.66585785588
LSOr110,2340.47315972042,2996.30938641385,57665.208505283,11339.1219872221,4758.06649791993,51200.4032661291,17501.9349349365,7796.48226237511
LTUr101,12896.8993831081,21655.2533431991,68059.4887683345,12001.4802976704,2661.01813924823,16523.0116475105,7474.97293672793,6148.87548420122
LTUr102,74764.5516790067,117848.023706026,248300.024645384,46872.677144589,9331.38240868669,39121.7173427062,17632.5752775518,28098.04779605
LTUr103,40980.0581364759,64796.9505493168,139569.509554486,26111.0328981688,5374.80582865729,22755.7835478445,10213.9154336551,15917.9440513962
LTUr104,11355.5496679118,19352.1863070567,70236.9999811739,12079.7475917085,2806.56722354326,20054.0994505336,8970.81322218491,5694.03655588739
LTUr105,21681.8926479141,36038.1828714231,107947.586092635,19035.5457102973,4136.3953931055,24586.4210438783,11109.1205036747,10018.8557370725
LTUr106,26158.2286558767,43513.5618576947,130590.917414012,22991.9594926012,5042.56453032042,29934.7548290333,13542.7505048773,12156.262715584
LTUr107,6283.89006561641,10826.4842279597,49114.2412206302,8235.02707694463,1962.21276662835,15899.8732227385,7306.37132739189,3802.9000920903
LTUr108,12658.9330706313,21192.375726468,65874.2499424727,11598.4108071795,2558.99349342735,15891.1396543368,7156.25875988312,6036.63854560139
LTUr109,11845.125327615,19830.0547382664,64952.9322612404,11347.7385369253,2540.24015350482,16834.0428949012,7579.03714366678,5594.82894388001
LTUr110,109157.859880373,172999.018466544,334875.455613404,64435.9587955382,11488.2345428905,42325.837860065,19579.565504644,38982.0693365414
LUXt,80775.9965899303,125578.932082091,239317.679768178,46149.1069011217,8109.06648376608,27993.7303133365,13529.225608418,28150.262253158
LVAr101,92276.1705575121,142685.251936262,268302.799441086,52112.2888952156,8889.25074579287,30314.7647773961,14950.6771321918,30787.7965145435
LVAr102,46938.4589554917,72512.6007622827,156164.644246194,29883.4216178768,5964.76573151004,25603.6927493451,11751.9092767864,18158.5066605129
LVAr103,18859.8392529119,30391.400365692,89587.0836071034,16210.5879658482,3469.85777634689,20736.6826583739,9473.41530740478,8783.13306631887
LVAr104,26930.038944054,42412.0253190503,112950.288937395,20710.0288438193,4289.10609406952,22941.1154249434,10725.9291206565,11946.467316012
LVAr105,21846.4066780024,35328.8395127998,110673.587028045,19757.4739989083,4208.87067291544,26768.4574678896,12136.9739824124,10032.3906590273
LVAr106,21074.1175275174,34048.7196204255,130193.442212483,22631.5640383227,4854.76302495538,38249.6301893289,17336.332674774,10671.4307121934
MARr101,224266.017166158,368406.316165016,3855032.28219727,594519.644310795,180106.269909377,1895157.79671467,796595.630451369,314362.043085347
MARr102,102559.060623101,160200.614618882,1875453.78971257,291207.882914709,92833.8487839764,1010960.49633785,412071.030037043,161657.276971864
MARr103,183902.159109686,316548.326937045,3190694.14235608,482466.365323844,141533.114439503,1497061.09595994,639882.131706484,243534.664167417
MARr104,63823.9890897454,89252.2895961337,1241446.33469616,206685.725251718,68219.0472994088,759347.609798181,309287.08218863,125151.922080028
MARr105,70333.6234797113,104598.655849743,1345738.06283113,213617.869551516,69312.4621312456,774805.808504449,307085.641358939,122614.876293263
MARr106,75105.2118661257,105028.097040889,1460878.44582502,243218.504611274,80277.1195251186,893566.258193844,363955.186232086,147273.176705647
MARr107,152167.750066934,224913.954810334,2859385.74834284,457509.1323029,148493.946038739,1646260.40435635,655550.666118352,261898.397963552
MDAr101,27145.3298756707,48243.5534088183,427591.522251115,65724.8003804623,18815.8732743122,189556.139280104,85405.5897341866,31414.1917953311
MDAr102,25146.7941135403,44464.5856915053,407550.059565728,62380.83461731,18029.7031247144,184797.603354337,82288.7085629966,30462.7109698681
MDAr103,17576.3700523664,33037.8254751704,264891.345193224,40919.4086178849,11290.9534625247,109353.845866647,48758.006872806,18062.244459377
MDAr104,33448.431006006,56056.9506360008,256905.39917609,43130.6359754346,10125.4769774505,83281.4119780009,38094.8739100752,20663.8203409413
MDGr101,78942.0815307621,113890.077015454,1515394.51592215,243374.533141337,79432.5241661327,887334.883665827,353855.648106606,143561.736451729
MDGr102,37270.1285644031,43587.5711298921,763058.755911141,154997.286580398,62345.4133491722,644302.079098169,245253.422655489,107777.342711335
MDGr103,16201.0346388315,18540.9164243956,330920.426179124,69018.8639127809,28079.4597297254,289226.83413882,108418.715320483,47895.7496558398
MDGr104,11468.3974104709,13186.7666145597,245063.7464197,51125.269965994,21086.5274189445,218667.023617523,81614.9013591048,36111.367193703
MDGr105,23394.9345670524,26773.8163785078,477862.17917253,99665.9683241228,40547.8500416617,417654.983805492,156560.911528889,69163.3561817448
MDGr106,15035.0148203245,17512.9931361578,307959.52114557,62654.7822058462,25234.5275416867,260331.176577958,99000.3336072385,43646.6509652181
MDGr107,21074.0262196836,25196.2331599116,479655.631779363,98085.9024050531,40942.8457202985,430524.319452434,155021.762879592,68888.2783836637
MDGr108,5941.84598086516,7126.7230350011,135222.605074429,27657.2043668114,11599.6456883227,121707.033265677,43727.3399412411,19458.6026476526
MDGr109,15686.9973900726,19214.4846178926,362825.760545417,73525.2256988606,31052.0209468112,325504.256087235,116110.417853357,51649.8368603536
MDGr110,26065.99964107,31236.851066468,512947.007481964,102330.364019857,39597.8506864593,419685.49173326,162828.826540814,70335.6088301081
MDGr111,20015.532674988,23333.0447700261,401346.376509249,81395.8811382423,32375.1849831689,336492.738759611,128007.773867344,56249.4672973707
