"GDLcode","X1","X2","X3","X4","X5","X6"
"FRAr116",479465.870780481,954288.416619543,1253314.54598533,307584.452696894,14372.4667982992,0
"FRAr108",649694.697730913,1092657.50577699,1569291.36831003,622019.284937118,71835.0917149295,4468.77553001898
"FRAr112",552802.009675235,1170438.32483665,1399908.95846159,523688.392049095,32662.0397760437,0
"FRAr103",225628.414744358,543317.951203027,843595.418719437,249233.965525734,43072.8038763831,0
"FRAr114",331977.597213896,587871.133151187,664505.19305831,189979.15004044,11580.1194984574,0
"FRAr121",836495.164329409,1429840.18295202,2028086.16247501,586468.210278765,35818.4348102376,0
"FRAr118",1010580.03243584,1829265.33006776,2744359.4688173,804465.063347685,47670.8673263457,0
"DEUr101",2119789.41193275,3263220.60155063,4201899.25172366,1116868.80235492,123811.816802102,0
"DEUr102",2685601.42454639,4297904.54502761,5083890.27405064,777811.760117243,49540.0507114912,0
"DEUr103",1220380.39392579,1037977.7947214,883127.6469285,173932.930754478,89570.7018105599,3788.68347230005
"DEUr104",541753.871808773,1026514.22128651,785487.179534405,144086.480953025,3624.05523134924,0
"DEUr105",164316.433306032,178678.818687307,201515.215786919,40831.3237484255,77799.2145955142,0
"DEUr106",426553.811894834,609736.793370056,569211.85734952,118290.013524872,14663.4664087531,0
"DEUr107",1228710.42402182,2055463.28992072,2357114.4163042,457562.978621294,68291.4947206219,326.653396346255
"DEUr108",482739.665350355,570694.473755436,443952.901224822,86703.8185107923,5726.10031130501,0
"DEUr109",1600847.17473182,2875101.10168063,2769906.04284924,596965.786413968,108010.771158934,0
"DEUr110",3551554.82083532,5753466.70411261,6703636.44311324,1665082.57149223,202392.846463716,0
"DEUr111",816948.543488759,1356256.40605614,1420323.86795037,424514.598662743,90885.0873761196,0
"DEUr112",278456.887856704,310255.614326489,330733.18110214,70365.9345308369,16559.4913405633,0
"DEUr113",926566.470672367,1329672.16831806,1620680.98225191,195985.042531722,22372.927954203,0
"DEUr114",640238.388577981,807866.72192118,630021.760471386,114962.920085169,49844.2725754415,0
"DEUr115",584357.039394351,1042813.09982595,1034906.61713049,169976.288711064,26073.4061434694,0
"DEUr116",519786.887796498,809112.179626447,685166.404945559,136122.590196435,2357.98632465739,0
"GEOr102",4985.19983491488,16635.8403414541,113945.333737774,112869.371162676,63519.1397231809,0
"GEOr103",4734.77856849888,15022.5689288301,46412.4263543424,26753.7423854578,14410.0143999241,0
"GEOr104",26692.8870910823,68773.4841461308,183672.203195178,155150.554419796,60608.0589481465,7302.83044083016
"GEOr105",15444.1905897118,44595.849536919,97477.3925534827,106146.006673696,37749.9047110377,0
"GEOr106",12289.6886564162,72038.9702698719,147542.900138941,154361.4494466,45060.1813383542,0
"GEOr107",5988.92556831417,14587.4042906752,32660.163262904,22704.8530751907,8268.84487514898,1494.72420350126
"GEOr108",1165.98629430145,3856.81536687165,12431.5857018148,10162.6968528201,3115.48247158854,0
"GEOr109",16510.0340721304,38983.6198296289,90144.576824857,115105.128339746,40240.0447442526,8628.26001123642
"GEOr110",11988.4381425689,15990.7700873609,58597.9129545028,47109.2777707551,18315.2670837376,0
"GEOr111",8495.10840190444,29172.3730638032,111224.549238091,66390.8492646696,25272.7615123925,2969.2834191391
"GRCr105",60837.2687529915,146063.419658712,284679.748469238,85749.4764830933,10483.9533638237,9253.78894676159
"GRCr101",379294.794584979,809581.234846167,2120847.90382311,447496.393672251,67568.9633461889,0
"GRCr111",63094.8535712015,161761.7899984,297897.396340562,105099.315396585,16800.4704507591,0
"GRCr107",28292.9433280069,67928.16540594,132392.991256291,39878.5995537172,4875.66099623012,4303.56147813076
"GRCr110",19060.8280906811,48867.9107135243,89994.2029963067,31750.2913444743,5075.38826036124,0
"GRCr108",34683.530888952,83271.2452632877,162296.879065702,48886.0640405818,5976.93696291437,5275.616104299
