"country","GDLCODE","X1","X2","X3","X4","X5","X6"
"Mexico","MEXr121",146909.77,428970.357,2187534.364,2273372.529,1012688.117,82178.398
"Mexico","MEXr122",56581.076,150848.128,767635.068,666073.535,294700.41,49132.268
"Mexico","MEXr123",50797.803,134094.574,623083.301,484981.222,250335.259,0
"Mexico","MEXr124",63426.603,223251.783,1046468.806,924876.764,453073.508,16005.968
"Mexico","MEXr125",86078.675,311340.724,1196995.252,1038515.928,305358.028,19224.799
"Mexico","MEXr126",104092.905,299828.293,1239861.221,917525.163,310155.208,33813.759
"Mexico","MEXr127",54228.082,201986.654,1019664.923,785951.94,270581.225,29190.949
"Mexico","MEXr128",113994.919,394012.169,1431283.456,1252838.762,263670.559,40443.829
"Mexico","MEXr129",17309.735,79973.719,417956.984,517471.172,201504.631,18652.584
"Mexico","MEXr130",250540.695,848246.14,3310806.16,2404570.957,1043803.149,163226.397
"Mexico","MEXr131",54570.81,184756.088,812992.324,644733.247,358202.173,42251.666
"Mexico","MEXr132",63597.967,194386.525,679432.886,432975.857,188067.114,7110.089
"Paraguay","PRYr105",52029.26,172464.69,896032.42,834877.54,472441.06,67439
"Paraguay","PRYr101",24842.42,72422.89,430197.54,414944.83,218091.8,50861.05
"Paraguay","PRYr104",21428.81,61238.9,271585.32,199956.58,104996.68,17056.03
"Paraguay","PRYr102",33734,108613.32,575727.43,521047.71,249979.48,27478.89
"Paraguay","PRYr103",16678.97,51363.14,288907.4,243780.37,135553.12,18844.35
"Poland","POLr101",241922.758,501500.891,1184532.281,550080.216,104308.047,10900.706
"Poland","POLr102",528414.658,1033042.939,2690917.276,1080885.638,229301.246,0
"Poland","POLr103",278059.696,533986.901,1352468.912,851182.115,218275.757,15007.244
"Poland","POLr104",381298.025,954280.818,2283634.82,772159.861,97095.252,10270.498
"Poland","POLr105",151193.485,355805.434,952098.866,504194.054,140753.673,0
"Poland","POLr106",122497.023,284526.306,811633,662676.563,212218.467,18307.973
"Poland","POLr107",89647.732,226132.094,490450.999,348348.102,103200.844,12035.583
"Poland","POLr108",120688.163,205334.486,474583.099,309138.871,23853.8,4895.493
"Poland","POLr109",239200.161,539451.72,1445446.555,965797.895,326432.222,5883.951
"Poland","POLr110",156478.675,345890.167,752880.035,261912.794,65208.253,5139.023
"Poland","POLr111",75980.653,194513.028,477932.383,191726.026,61015.171,0
"Poland","POLr112",285669.233,616442.215,1291522.171,498644.201,154419.745,16529.554
"Poland","POLr113",87448.42,175806.553,396311.811,247468.586,51045.311,6956.436
"Poland","POLr114",178159.832,344189.486,883832.658,473086.199,95219.975,0
"Poland","POLr115",132165.49,262541.744,589229.068,263811.72,72862.32,0
"Poland","POLr116",200520.002,428521.586,985737.615,499252.018,164917.672,0
"Russia","RUSr107",1917791.011,4345832.533,9073064.242,2579469.951,200757.189,0
