"country","GDLCODE","X1","X2","X3","X4","X5","X6"
"Myanmar","MMRr114",75976.16,430878.98,2348580.88,2025054.31,1066840.75,104686.46
"Nepal","NPLr101",51451.2,256300.2,1623434.4,2194816.5,1372010.4,278810.1
"Nepal","NPLr102",93992.4,418510.8,2414415.6,3288664.79999999,2385255.6,891575.100000001
"Nepal","NPLr103",61389.9,275497.2,1423251,1618955.1,1102653,427250.7
"Nepal","NPLr104",24931.8,119102.4,815078.700000001,1289601,1018971.9,249569.1
"Nepal","NPLr105",17698.5,65367,469022.4,910917.900000001,832428.900000001,243696.6
"Senegal","SENr101",61397.2115185635,91919.445578629,344404.768095539,487362.885395552,872881.689595654,1159440.25038404
"Senegal","SENr102",7660.13379995327,9843.73483739971,38765.0134733959,68562.8605545069,169168.979823073,239355.606021409
"Senegal","SENr103",3899.78757168583,7254.40989109133,53842.5787350376,141667.954870213,408973.790172247,795052.729768855
"Senegal","SENr104",9688.82334493741,17358.7872395967,108652.216787005,251400.0520611,678036.832403723,1151794.73672494
"Senegal","SENr108",9688.82334493741,17358.7872395967,108652.216787005,251400.0520611,678036.832403723,1151794.73672494
"Senegal","SENr105",5336.25141099556,7032.12774956063,38087.6469474501,77966.591152778,206332.017862572,428384.53718102
"Senegal","SENr106",6767.02519548565,10043.1767588811,61514.8026514706,172725.134084095,583986.076291429,1288430.04310915
"Senegal","SENr109",6767.02519548565,10043.1767588811,61514.8026514706,172725.134084095,583986.076291429,1288430.04310915
"Senegal","SENr107",11294.2388119762,13544.7704942519,72385.7973857904,162507.985649121,472284.99013073,965269.679688377
"Senegal","SENr110",4105.36955232233,5096.44910067047,36300.5997305183,89107.228484913,270533.426397584,667381.499747154
"Tanzania","TZAr201",45159.58,115395.71,506653.05,645361.28,629771.53,105717.51
"Tanzania","TZAr202",71612.93,157059.86,723097.39,931011.85,995259.74,188008.05
"Tanzania","TZAr203",49212.36,108611.47,451726.72,526640.13,407790.87,60169
"Tanzania","TZAr204",50071.18,106830.48,463770.38,612051.99,648353.82,141393.91
"Tanzania","TZAr205",67551.53,140065.38,552044.83,651524.23,621956.11,141474.58
"Tanzania","TZAr206",38387.35,76663.34,272324.04,312132.96,304872.51,71920.57
"Tanzania","TZAr207",193910.61,384300.11,1220415.8,1064564.82,1066058.03,345071.88
"Tanzania","TZAr208",32410.73,76351.43,287327.47,260088.25,178033.22,18684.34
"Tanzania","TZAr209",47634.59,126421.23,447592.01,382201.28,222614.84,25418.93
"Tanzania","TZAr210",29232.46,73503.81,347306.74,444322.19,392352.52,64628.59
"Tanzania","TZAr211",52791.93,111379.53,457331.77,532691.59,407867.79,50174.11
"Tanzania","TZAr212",83692.35,178944.86,738398.43,825437.65,689936.74,162241.19
"Tanzania","TZAr213",21173.81,55824.52,243502.67,370853.3,502235.87,150126.69
"Tanzania","TZAr214",37028.71,80475.02,321364.33,458035.65,799031.15,559052.61
"Tanzania","TZAr215",22678.46,62737.12,297811.42,410712.45,558574.73,198006.06
"Tanzania","TZAr216",29562.32,70659.33,332177.96,537847.97,819716.33,189480.17
"Tanzania","TZAr217",163282.43,373771.27,1607447.16,2363568.85,3726454.48,1685604
"Tanzania","TZAr218",163282.43,373771.27,1607447.16,2363568.85,3726454.48,1685604
"Tanzania","TZAr219",163282.43,373771.27,1607447.16,2363568.85,3726454.48,1685604
"Tanzania","TZAr220",23523.71,59985.33,279825.35,449163.11,673033.37,216504.15
"Tanzania","TZAr221",4202.35,9433.99,39376.78,50465.06,65925.68,13754.82
"Tanzania","TZAr222",3041.04,6634.28,30307.89,33396.82,30648.63,7253.07
"Tanzania","TZAr223",10690.74,24377.91,111544.63,141866.75,213501.63,86567.74
"Tanzania","TZAr224",2476.15,7808.94,36739.93,55282.2,88232.95,19075.97
"Tanzania","TZAr225",2683.04,6396.83,30775.86,49685.24,83763.52,20271.43
"Uganda","UGAr101",191880,280460,1045090,1187830,1386040,261440
"Uganda","UGAr102",147850,214700,801650,955010,1262640,301060
"Uganda","UGAr103",87740,152900,445260,396590,362270,85100
"Uganda","UGAr104",94300,175800,847070,1204590,1924050,499870
"Uganda","UGAr105",84590,149020,675090,1072100,1952330,511790
"Uganda","UGAr106",70180,160460,791120,1278850,1961110,314160
"Uganda","UGAr107",28240,81860,406450,654730,1239250,314630
"Uganda","UGAr108",115600,218500,961900,1280430,1729690,355910
"Uganda","UGAr109",91380,207520,994270,1333930,1534050,185130
"Zimbabwe","ZWEr110",24933.2331313579,48898.1853644107,201906.739815341,205477.275627841,155651.154402555,0
"Zimbabwe","ZWEr101",49241.1181825605,108608.840759896,496445.685568543,570821.762069608,467235.878469671,1452.42134745774
"Zimbabwe","ZWEr102",28402.9063502848,61566.5271172366,337607.273209067,375894.71372955,311483.861473542,0
"Zimbabwe","ZWEr103",43048.1549371504,93318.0715741601,405649.178833719,409502.129908225,339947.285379971,1553.2839410312
"Zimbabwe","ZWEr104",37783.127552616,84038.7129654023,431490.175307238,480206.808003217,422271.334254625,242.070224576291
"Zimbabwe","ZWEr105",17953.5416560749,40062.6221673761,186071.312624309,211670.238873252,242191.259688579,484.140449152581
"Zimbabwe","ZWEr106",21322.3522814283,41071.2481031107,166625.004583347,195068.255971061,225952.382123253,0
"Zimbabwe","ZWEr107",37198.12450989,88194.2518206286,442907.820899753,485834.940724616,479016.62939905,968.280898305163
"Zimbabwe","ZWEr108",37742.7825151867,83070.4320670971,400021.046112321,479964.737778641,424429.793757097,2198.80453990131
"Zimbabwe","ZWEr109",73427.9681214749,157547.371161736,683586.141684731,661819.993991579,473711.256977086,0
"Armenia","ARMr111",36070,88660,401630,371880,142180,10010
"Armenia","ARMr101",3160,7160,36490,56610,25710,2490
"Armenia","ARMr102",4740,12800,67550,108550,59770,5310
"Armenia","ARMr103",4390,11820,72590,106020,60970,6530
"Armenia","ARMr104",3810,8580,55800,91730,59420,13170
"Armenia","ARMr105",11090,22000,83940,85200,27490,1330
"Armenia","ARMr106",6970,15140,78170,100150,46630,2710
"Armenia","ARMr107",8510,16220,82230,102510,38780,2250
"Armenia","ARMr108",5890,12160,50280,51960,18090,960
"Armenia","ARMr109",1440,3300,14610,21290,9960,330
"Armenia","ARMr110",4500,10820,37510,51290,22010,1400
"Bolivia","BOLr101",28012.93,49797.16,165942.24,166469.89,140151.53,15855.87
"Bolivia","BOLr102",206034.4,348129.2,979566.8,702868.52,408443.64,28834.08
"Bolivia","BOLr103",114729.78,186073.2,587438.52,516452.82,297445.7,24697.64
"Bolivia","BOLr104",36660.92,58512.86,175027.12,133901.1,74496.71,5944.2
"Bolivia","BOLr105",59135.5,88426.58,250308.48,224253.79,180510.56,10204.34
