"GDLcode","shdi","ISOcode","LISDHS","Population","X1est","X2est","X3est","X4est","X5est"
"LVAr103",0.830366549,"LVA","LIS",203529.9493,46992.1054584896,45701.0669682262,41991.758725279,37765.5222463993,31754.1275597852
"LVAr104",0.83273799,"LVA","LIS",258020.7214,59573.2323041676,57936.5459896542,53234.1501406311,47876.4296241276,40255.6131349825
"LVAr105",0.822019797,"LVA","LIS",248423.8914,63067.830360218,57084.3236933919,51539.510440513,44036.0216986781,33898.108829972
"LVAr106",0.809876785,"LVA","LIS",292113.9666,80886.1415368859,67667.3986731087,56184.619187061,49170.8273718788,39779.2362775119
"MEXr101",0.789660006,"MEX","LIS",1250751.634,189703.091342906,214029.569551331,244425.133542531,273487.400971162,323129.532794534
"MEXr102",0.802779233,"MEX","LIS",3330758.264,505180.342779973,569961.883834291,650905.432657694,728298.405632607,860495.667118077
"MEXr103",0.798268306,"MEX","LIS",757634.8625,114911.443342082,129647.053091882,148058.973027925,165663.257034984,195733.663257782
"MEXr104",0.764301225,"MEX","LIS",877544.6758,184048.243609372,184511.800205363,177327.320337353,174493.53422415,158263.953914469
"MEXr105",0.790569589,"MEX","LIS",3440999.618,521900.789173272,588826.468058673,672449.084443448,752403.608108802,888976.331259793
"MEXr106",0.78200114,"MEX","LIS",735147.4808,111500.75355465,125798.995256295,143664.430477966,160746.201235416,189924.08688389
"MEXr107",0.692159727,"MEX","LIS",5280724.285,1487917.22658184,1220160.27937962,1005382.72488405,875776.09722675,726691.073000027
"MEXr108",0.779611396,"MEX","LIS",3530596.879,626721.058983387,693160.130444597,725442.227341898,751165.80251582,728915.015867049
"MEXr109",0.827768051,"MEX","LIS",8104126.265,1229163.13943727,1386784.24152079,1583729.40775879,1772035.60571721,2093687.07785943
"MEXr110",0.764303295,"MEX","LIS",1368413.375,286998.582688367,287721.437106515,276518.2031118,272099.293253267,246791.436708918
