"GDLcode","X1","X2","X3","X4","X5"
"KENr108",2761837.53653408,165470.154583199,149553.649332252,312223.738045105,316685.437505367
"LSOr101",29273.8657034144,32677.8875941366,29398.2165428567,18650.0342589006,13265.6381006917
"LSOr102",28729.3168678096,63265.9892122908,82879.1648926273,94022.1967114155,54164.1057158569
"LSOr103",35818.6828660441,52105.8210260765,75033.9095309036,54733.8932846613,88631.5988923145
"LSOr104",22730.2014510842,64920.5538467603,74547.3272078404,137654.545992334,187778.915201981
"LSOr105",36304.8191676502,44687.8244463364,45614.2207250288,45069.4851430884,37620.6853178962
"LSOr106",50822.6602997717,42266.8193247865,38264.02961316,29176.9242448174,22300.8488174643
"LSOr107",30046.2479747324,35223.7890209358,36961.9764682902,21840.7567564699,13570.1224795717
"LSOr108",26649.4465303311,21667.5059946546,13889.8244653932,10488.3758534039,7270.0244162172
"LSOr109",60671.3513048956,34187.8731151183,13056.4180802329,8186.50060350041,6653.0220962528
"LSOr110",76968.8143969525,32179.3947225103,21499.5193485096,8612.96707906574,4263.84335296196
"LBRr101",42886.5876946492,48305.0759528722,51670.1928061837,23236.7905169297,7178.00952936531
"LBRr102",142819.809049064,129916.005554142,84706.7617850974,32403.5735293736,4802.53968232305
"LBRr103",43684.6506044116,36017.5017374385,16413.5423857853,4090.67419755178,2373.73677481283
"LBRr104",108627.40025126,36743.8824026446,44359.2350285765,44635.2481097891,28413.0591077294
"LBRr105",47097.9582815999,58149.3630650553,44630.6183644764,12907.7014080898,4721.93838077854
"LBRr106",58983.6828122808,47925.269263181,40746.3451979516,12769.6936458963,6014.93878069035
"LBRr107",32991.1077212468,19861.4505670436,7353.76260230354,1612.89771954485,448.268979861167
"LBRr108",121602.582176994,143226.208481069,75535.2848235156,22231.8480756283,3203.44874279254
"LBRr109",60137.6248272716,86369.672153498,100303.908497942,100332.879173212,66203.7605480763
"LBRr110",36585.2407172074,52011.8013274932,49076.8905902041,25656.5182518097,6984.62531328569
