"GDLcode","X1","X2","X3","X4","X5","X6"
"HTIr106",13354.4341859343,42858.199988153,195998.734678267,257199.766087428,243259.631524292,35104.3184359258
"HTIr107",13547.7560068474,42425.3146052801,183482.125013059,243718.4886496,244418.794558264,39810.31636695
"HTIr108",15222.1541543458,50472.3724036711,223821.737404585,261259.828619439,238131.095286248,31268.5140317114
"HTIr109",11062.424062354,38622.1797994971,186348.204327867,244639.860606692,240633.490778721,40591.0302248687
"INDr101",677928.247637258,4073961.80721586,21253945.0741142,17994156.6840437,7205267.46611615,1063179.7008728
"INDr102",250482.894560222,1202407.30537715,11123194.8998532,12679071.0257915,7342477.88362872,1029997.76078918
"INDr103",584353.62102747,3646744.1071757,21013030.5279986,40702947.1400469,39589624.9406034,10755555.463148
"INDr104",22958.7864208751,100772.821110023,655574.421329819,496683.914718831,190281.641717791,42563.7057026602
"INDr105",548052.286842812,3171866.59591442,17764058.5631122,24620248.9462263,16692782.4620228,3801004.21588143
"INDr106",126612.434892796,710218.149510322,7067312.65887213,11442603.8002839,6895750.76691394,1504897.88952687
"INDr107",90308.2648344845,446185.503058389,2330277.39090759,2672270.07411549,1593428.51981495,263353.311269091
"INDr108",39211.062080162,324619.705534037,3280720.20036394,5621836.44936237,3986256.63442892,605794.818230565
"INDr109",686410.996516198,3535576.53259902,22923820.6599594,23074750.6078018,12597343.2965718,3538755.63655179
"INDr110",272402.490750184,2936763.34488844,16785090.7622038,12820373.8355971,3795151.24701543,543367.299545077
"INDr111",584144.526140282,3087578.7440026,18639130.9903293,29604556.0433293,22285727.7771601,5378114.19903839
"INDr112",1202808.29935175,5751347.50020901,36577151.1744039,43129412.7009145,26416243.7812323,8045686.94388863
"INDr113",19399.5877616958,105976.997804961,943291.834410754,1247524.7733635,795921.220324866,93682.6973342227
"INDr114",22251.4877228146,89291.6753083103,821496.758917978,1266498.89103077,1100422.07156298,179644.932457153
"INDr115",14660.9123232416,53404.7080474064,366837.159945765,494646.350273131,300202.773873411,26307.3605370451
"INDr116",38329.994648025,153133.523626084,696779.477182549,737171.380202626,486903.482505501,39242.2838352152
"INDr117",372556.70368979,2617238.95012206,16675418.0677734,16918287.8785247,7698698.06469574,933900.175194302
"INDr118",152080.394409404,941223.280033779,9202026.66906559,12607340.9177202,6260554.39374606,861485.985025008
"INDr119",496299.449001709,2845518.24386496,16751215.7650389,27357181.6244655,22567839.3379062,5713148.31972273
"INDr120",6604.63953244537,32530.2236309027,289439.128268655,226310.42770363,84143.4865090462,3441.00855532116
"INDr121",978877.115261862,5984064.29603487,37088834.6904746,26109104.878488,7631949.15162628,564493.478114392
"INDr122",703056.805102408,4629403.3681968,36641542.1257209,33207133.2858261,18349601.8388024,4053887.0063514
"INDr123",1491861.62971557,6798680.26246968,39092461.8046371,73740742.1807533,75164957.6602693,23248284.3621551
"INDr124",211939.463131044,715598.554237366,5717622.75957317,6961455.7618517,3650977.72730433,983957.413902385
"INDr125",28598.7213871363,96106.1121590837,507105.217246236,560146.118848256,315877.982453121,35358.0679061674
"INDr126",45828.3420814653,227240.185149722,1937116.75390118,1276493.52613492,479422.781003024,88694.4287296945
"INDr127",154802.309718778,553066.72451284,3110161.9457249,4193270.05600859,2712779.20034401,470299.093690875
"INDr128",250880.881706644,1483194.09095212,8749595.52623297,13662836.2466255,10346214.3071082,2239997.67737455
"INDr129",235010.605401904,1265687.76203631,7492436.00553661,10551110.8116111,6865877.68966167,1521740.90575238
"INDr130",451511.856497742,2809631.20809006,16028777.7486316,13041335.5870058,4901642.65819426,734781.021580466
"INDr131",11541.903000108,43067.8228199375,320946.041148677,301717.234363642,161301.107570238,15397.7108973969
"INDr132",4708.08494768217,24451.5158098687,146768.39676548,168374.654289301,119916.763552298,29016.3810353701
"INDr133",9909.71148721767,59487.3389686105,574713.202667164,399450.333900604,144742.852379697,10932.0615967071
"INDr134",4348.15744611905,17083.8008942139,62557.628521017,47846.398078441,24001.2725472453,5032.55771296384
"INDr135",259.26593165972,1840.53157547822,9987.47049365798,12384.1537257206,18024.9024800472,6605.52793343621
"INDr136",4861.52188713797,18270.1980046391,169425.731808846,114989.159940951,50056.0124781088,14256.1072803178
"IDNr101",60657.1196165384,255025.947174596,1698225.06196448,1809332.68604299,763126.197095555,36660.0051058418
"IDNr102",178752.062867642,709503.268841411,4303693.30760061,5899540.36786763,2447733.30717817,195192.505644533
"IDNr103",58664.4765872386,327805.957588252,1782157.78860658,1824183.41721574,1053110.46168597,120743.248316227
"IDNr104",73739.1786470322,321574.009650254,2610240.16409354,2528710.35524068,1054051.89370696,90621.4296615278
"IDNr105",46220.8249603438,229106.556638177,1655689.43706841,1214327.10625429,310614.195020063,43984.319058721
"IDNr106",52807.170521843,413982.282203046,3644973.67714281,2665847.395688,1005697.55470038,107287.446743919
"IDNr107",23601.9754585621,127053.493544111,847580.051258351,680532.855210097,137767.835672215,8108.62385666334
"IDNr108",100657.433352406,626204.849427869,4190348.93178831,2497797.80336592,694854.691065496,0
"IDNr109",26105.3017751915,112805.928343808,644480.977214646,445119.250427557,145407.830674024,12003.9525647736
"IDNr110",141542.503368191,632619.257663058,3944295.67007758,3464228.6912805,1495365.25173078,320948.707879895
"IDNr111",764645.511565822,3294298.66566943,21453969.5918206,15912491.9200488,6079070.20545033,443847.075444944
"IDNr112",747326.071787665,2994454.364639,15857995.6452509,10405120.9214909,2866620.43122629,384293.1756052
"IDNr113",185462.326214515,354439.64970306,1506322.94313461,1312325.90726676,279434.85724482,38408.3484362287
"IDNr114",866199.623530623,3647666.79963363,18007030.6254033,12600696.3571816,3379632.63278908,251138.231461747
"IDNr115",153829.603388537,572006.570528905,5289982.6746335,4193616.70281982,1708277.37605861,303872.882570636
"IDNr116",115439.166259771,384162.732451519,1621341.79963429,1614905.50647094,499059.662774091,19206.5834093885
"IDNr117",92287.3399782207,381160.014556156,2433619.17261092,1431172.29324827,459395.702606439,0
"IDNr118",68271.7592438895,211432.925012084,1237979.73745117,1773449.65904759,1540996.96391092,196712.741334348
"IDNr120",35331.8568917582,228610.032449981,1652623.94890642,1712989.23017151,897074.157088175,221335.231492154
"IDNr121",42985.4026046385,210615.627879372,1118709.26341995,765229.527844901,296499.331479743,21324.3667713999
"IDNr122",95256.2169476285,269614.982513755,1973574.67575428,1245345.59195097,382216.222403832,10394.0384295302
