"GDLcode","shdi","ISOcode","LISDHS","Population","X1est","X2est","X3est","X4est","X5est","X6est","X7est","X8est"
"MKDr101",0.783299004,"MKD","LIS",629279.7469,26797.8869197058,83388.104885268,304301.721350634,22607.7851007148,11483.2074852783,147585.084161966,21721.3498637156,11394.6071327166
"MKDr102",0.768023491,"MKD","LIS",235235.8323,10017.5212447129,31171.9395916343,113753.333147737,8451.18752164655,4292.62483590195,55169.8990455873,8119.82244628414,4259.50446649614
"MKDr103",0.761868723,"MKD","LIS",156153.898,6649.81595433463,20692.5102687862,75511.567297529,5610.0546474189,2849.5237916086,36622.79978353,5390.08837921486,2827.53787757777
"MKDr104",0.735035696,"MKD","LIS",176504.9323,7516.46503776225,23389.298447799,85352.7465175237,6341.19499048287,3220.8930444062,41395.7312575599,6092.56122741383,3196.04177705222
"MKDr105",0.762322829,"MKD","LIS",219619.8149,9352.51292292452,29102.60539924,106201.87292854,7890.1595094669,4007.66100418592,51507.4718761015,7580.79194499395,3976.73931454705
"MKDr106",0.73362934,"MKD","LIS",176254.7127,7505.80943255817,23356.140955679,85231.7474620627,6332.20548943401,3216.32699314229,41337.0472129726,6083.92419833236,3191.51095581897
"MKDr107",0.740637211,"MKD","LIS",326116.5854,13887.6794005235,43214.8724984822,157700.67094497,11716.210027134,5951.03280057381,76484.1772518074,11256.825732482,5905.11674402663
"MKDr108",0.744340572,"MKD","LIS",181004.7375,7708.08930583117,23985.5836926831,87528.7238548655,6502.85700083333,3303.00628102232,42451.0713228107,6247.88458487015,3277.52145708378
"MLIr101",0.393645588,"MLI","DHS",2450534.008,34184.5939460519,42446.3026138307,1111879.01761967,165373.323892895,55806.0394296391,736032.722287051,213711.388149363,91100.6200615034
"MLIr102",0.431211783,"MLI","DHS",3199750.962,44794.3598093798,56050.0415950023,1446770.31196316,214766.502359584,73072.533961689,964262.64052324,280875.942116357,119158.629671588
"MLIr103",0.405073335,"MLI","DHS",3338203.339,46567.4523514181,57821.8415460138,1514640.57918188,225277.33963233,76020.943415688,1002649.57887983,291125.145447289,124100.458545557
"MLIr104",0.380522918,"MLI","DHS",2827746.668,39446.6558359557,48980.0959273932,1283031.44417864,190829.371919583,64396.3077175294,849330.827971182,246608.153072004,105123.811377708
"MLIr105",0.352242365,"MLI","DHS",2457702.241,34284.5897566041,42570.4653416815,1115131.4547783,165857.069278097,55969.2816830145,738185.744457629,214336.530677484,91367.105027194
"MLIr106",0.329370382,"MLI","DHS",872041.9513,9043.11680056301,26124.354832094,370410.239784427,45768.291950803,16547.9446568695,309792.065523775,74648.2249869745,19707.7127644946
"MLIr107",0.387786257,"MLI","DHS",789981.5347,8192.14635021897,23666.0150266156,335554.097205159,41461.4290768846,14990.7589843315,280640.181353113,67623.718388697,17853.1883149808
"MLIr108",0.602190741,"MLI","DHS",2177429.359,29606.6911243033,57451.5301258767,859973.852145157,123680.468206204,45151.6071709946,792273.553632011,207095.5489501,62196.1076453533
"MMRr101",0.624323617,"MMR","DHS",1714351.653,23553.5849074003,48799.3504037856,685092.368207522,92496.9641080011,35402.1766329802,625392.746188075,157910.219101356,45704.243450879
"MMRr102",0.610323845,"MMR","DHS",292514.1749,4058.2517486826,7858.93764534991,115816.927863587,16623.8133079274,6052.61493719403,106169.284003146,27751.475096926,8182.87029718712
"MMRr103",0.557804325,"MMR","DHS",1517313.583,18049.8657405465,32515.5375073988,594076.528101404,90999.8716955201,30993.9426651607,564065.575405295,144103.10828067,42509.1536040057
"MMRr104",0.593562554,"MMR","DHS",551186.1473,7182.4352386637,13405.6336385278,217676.291914386,32190.4288185955,11394.2712919287,202589.66891342,51363.0975583025,15384.3199261758
"MMRr105",0.576033579,"MMR","DHS",5610495.104,70132.5438750906,127189.034849023,2206646.16515943,327879.179942193,114815.287045558,2078756.20285038,527081.164808527,157995.525469796
"MMRr106",0.584244721,"MMR","DHS",1350239.037,16909.3423173608,32350.5822610114,531011.419498245,78255.2010015293,27985.926594596,499606.09734268,126362.952297844,37757.5156867335
"MMRr107",0.578335099,"MMR","DHS",4970105.134,62126.4885582164,119073.401682979,1953326.1175669,286882.443035644,103532.898676986,1843119.03602771,464447.136456326,137597.611995243
"MMRr108",0.586418816,"MMR","DHS",3967224.755,51962.5594158843,95561.3990225751,1562628.26785911,231875.496007089,82237.2346363198,1461055.48836703,370532.442863058,111371.86682893
